chr,start,end,value
chr6,32369159,32369208,1.12
chr6,32369208,32369216,1
chr6,32369216,32369279,1.12
chr6,32369279,32369287,0.75
chr6,32369287,32369288,0.12
chr6,32369288,32369347,0.37
chr6,32369347,32369357,0.25
chr6,32369357,32369376,0.37
chr6,32369376,32369385,0.75
chr6,32369385,32369390,1
chr6,32369390,32369419,1.12
chr6,32369419,32369488,0.87
chr6,32369488,32369507,0.75
chr6,32369507,32369516,0.37
chr6,32369516,32369521,0.12
chr6,32369734,32369865,0.12
chr6,32369950,32369959,0.12
chr6,32369959,32370081,0.25
chr6,32370081,32370090,0.12
chr6,32370204,32370237,0.12
chr6,32370237,32370278,0.25
chr6,32370278,32370335,0.62
chr6,32370335,32370368,0.5
chr6,32370368,32370398,0.37
chr6,32370398,32370409,0.5
chr6,32370409,32370518,0.12
chr6,32370518,32370529,0.25
chr6,32370529,32370649,0.12
chr6,32370673,32370804,0.12
chr6,32370889,32370906,0.25
chr6,32370906,32370967,0.37
chr6,32370967,32371020,0.62
chr6,32371020,32371037,0.37
chr6,32371037,32371053,0.25
chr6,32371053,32371098,0.37
chr6,32371098,32371184,0.12
chr6,32371379,32371422,0.75
chr6,32371422,32371510,1.12
chr6,32371510,32371553,0.37
chr6,32371645,32371776,0.12
chr6,32371805,32371856,0.12
chr6,32371856,32371936,0.25
chr6,32371936,32371971,0.12
chr6,32371971,32371987,0.25
chr6,32371987,32372006,0.12
chr6,32372006,32372045,0.25
chr6,32372045,32372056,0.37
chr6,32372056,32372097,0.5
chr6,32372097,32372102,0.87
chr6,32372102,32372137,0.75
chr6,32372137,32372176,0.62
chr6,32372176,32372187,0.5
chr6,32372187,32372228,0.37
chr6,32372335,32372446,0.12
chr6,32372446,32372466,0.5
chr6,32372466,32372504,0.37
chr6,32372504,32372544,0.75
chr6,32372544,32372577,1.12
chr6,32372577,32372635,0.75
chr6,32372635,32372652,0.37
chr6,32372652,32372675,0.62
chr6,32372675,32372783,0.25
chr6,32372962,32373042,0.12
chr6,32373042,32373062,0.25
chr6,32373062,32373093,0.37
chr6,32373093,32373128,0.25
chr6,32373128,32373173,0.37
chr6,32373173,32373193,0.25
chr6,32373193,32373228,0.12
chr6,32373228,32373259,0.25
chr6,32373259,32373340,0.12
chr6,32373340,32373359,0.37
chr6,32373359,32373471,0.25
chr6,32373855,32373958,0.12
chr6,32373958,32373986,0.25
chr6,32373986,32374055,0.12
chr6,32374055,32374089,0.25
chr6,32374089,32374186,0.12
chr6,32374253,32374278,0.12
chr6,32374278,32374288,0.37
chr6,32374288,32374384,0.5
chr6,32374384,32374409,0.37
chr6,32374409,32374419,0.12
chr6,32374540,32374553,0.25
chr6,32374553,32374556,0.37
chr6,32374556,32374558,0.5
chr6,32374558,32374671,0.62
chr6,32374671,32374684,0.75
chr6,32374684,32374687,0.62
chr6,32374687,32374689,0.5
chr6,32374689,32374742,0.37
chr6,32374742,32374790,0.5
chr6,32374790,32374802,0.62
chr6,32374802,32374822,0.25
chr6,32374822,32374853,0.5
chr6,32374853,32374873,0.62
chr6,32374873,32374877,0.5
chr6,32374877,32374921,0.62
chr6,32374921,32374953,0.5
chr6,32374953,32374984,0.25
chr6,32374984,32375008,0.12
chr6,32375068,32375128,0.12
chr6,32375128,32375145,0.25
chr6,32375145,32375152,0.5
chr6,32375152,32375199,1.74
chr6,32375199,32375259,1.62
chr6,32375259,32375276,1.49
chr6,32375276,32375283,1.25
chr6,32375287,32375418,0.25
chr6,32375427,32375453,0.12
chr6,32375453,32375460,0.37
chr6,32375460,32375520,0.5
chr6,32375520,32375546,0.87
chr6,32375546,32375558,1
chr6,32375558,32375584,0.87
chr6,32375584,32375591,0.62
chr6,32375591,32375651,0.5
chr6,32375651,32375677,0.12
chr6,32375892,32375917,0.25
chr6,32375917,32375968,0.37
chr6,32375968,32376023,0.5
chr6,32376023,32376048,0.25
chr6,32376048,32376099,0.12
chr6,32376120,32376251,0.12
chr6,32376380,32376390,0.25
chr6,32376390,32376511,0.5
chr6,32376511,32376521,0.25
chr6,32376752,32376883,0.25
chr6,32376942,32377073,0.12
chr6,32377165,32377221,0.25
chr6,32377221,32377296,0.37
chr6,32377296,32377352,0.12
chr6,32377513,32377522,0.12
chr6,32377522,32377644,0.25
chr6,32377644,32377653,0.12
chr6,32377758,32377889,0.37
chr6,32378974,32379105,0.12
chr6,32379159,32379290,0.25
chr6,32379664,32379721,0.25
chr6,32379721,32379788,0.37
chr6,32379788,32379795,0.5
chr6,32379795,32379852,0.25
chr6,32379852,32379886,0.12
chr6,32379886,32379919,0.25
chr6,32379919,32379957,0.12
chr6,32379957,32379960,0.25
chr6,32379960,32380017,0.75
chr6,32380017,32380050,0.62
chr6,32380050,32380088,0.75
chr6,32380088,32380091,0.62
chr6,32380091,32380181,0.12
chr6,32380281,32380328,0.12
chr6,32380328,32380412,0.25
chr6,32380412,32380417,0.12
chr6,32380417,32380459,0.25
chr6,32380459,32380548,0.12
chr6,32380568,32380591,0.62
chr6,32380591,32380699,0.75
chr6,32380699,32380722,0.12
chr6,32380727,32380806,0.12
chr6,32380806,32380814,0.25
chr6,32380814,32380858,0.37
chr6,32380858,32380937,0.25
chr6,32380937,32380945,0.12
chr6,32380958,32381089,0.25
chr6,32381105,32381118,0.37
chr6,32381118,32381148,0.5
chr6,32381148,32381152,0.62
chr6,32381152,32381178,0.75
chr6,32381178,32381235,0.87
chr6,32381235,32381236,1.37
chr6,32381236,32381249,1.37
chr6,32381249,32381279,1.25
chr6,32381279,32381283,1.12
chr6,32381283,32381309,1
chr6,32381309,32381319,0.87
chr6,32381319,32381366,1.37
chr6,32381366,32381367,0.87
chr6,32381367,32381415,0.87
chr6,32381415,32381418,1
chr6,32381418,32381450,1.12
chr6,32381450,32381462,0.62
chr6,32381462,32381498,1
chr6,32381498,32381517,0.62
chr6,32381517,32381530,0.87
chr6,32381530,32381546,1
chr6,32381546,32381549,0.87
chr6,32381549,32381592,0.75
chr6,32381592,32381593,0.87
chr6,32381593,32381596,0.5
chr6,32381596,32381600,0.75
chr6,32381600,32381648,1
chr6,32381648,32381660,0.75
chr6,32381660,32381661,0.87
chr6,32381661,32381723,0.75
chr6,32381723,32381727,0.62
chr6,32381727,32381731,0.37
chr6,32381731,32381791,0.12
chr6,32381864,32381984,0.12
chr6,32381984,32381995,0.5
chr6,32381995,32382035,0.37
chr6,32382035,32382082,0.5
chr6,32382082,32382115,0.62
chr6,32382115,32382166,0.25
chr6,32382166,32382174,0.12
chr6,32382174,32382213,0.25
chr6,32382213,32382219,0.12
chr6,32382219,32382305,0.25
chr6,32382305,32382350,0.12
chr6,32382546,32382598,0.25
chr6,32382598,32382649,0.62
chr6,32382649,32382677,0.75
chr6,32382677,32382729,0.5
chr6,32382729,32382780,0.12
chr6,32382887,32382914,0.5
chr6,32382914,32383018,0.62
chr6,32383018,32383045,0.12
chr6,32383096,32383115,0.12
chr6,32383115,32383134,0.37
chr6,32383134,32383151,0.62
chr6,32383151,32383220,0.75
chr6,32383220,32383227,0.87
chr6,32383227,32383228,0.75
chr6,32383228,32383241,0.87
chr6,32383241,32383243,1
chr6,32383243,32383246,1.12
chr6,32383246,32383265,0.87
chr6,32383265,32383274,0.62
chr6,32383274,32383282,0.75
chr6,32383282,32383345,0.62
chr6,32383345,32383351,0.75
chr6,32383351,32383359,0.62
chr6,32383359,32383360,0.5
chr6,32383360,32383368,0.62
chr6,32383368,32383372,0.75
chr6,32383372,32383374,0.62
chr6,32383374,32383405,0.5
chr6,32383405,32383448,0.37
chr6,32383448,32383456,0.62
chr6,32383456,32383465,0.75
chr6,32383465,32383475,0.87
chr6,32383475,32383476,1.12
chr6,32383476,32383491,1.12
chr6,32383491,32383495,1
chr6,32383495,32383499,1.37
chr6,32383499,32383507,1.25
chr6,32383507,32383533,1.49
chr6,32383533,32383535,1.62
chr6,32383535,32383565,1.74
chr6,32383565,32383579,1.87
chr6,32383579,32383581,1.74
chr6,32383581,32383587,1.99
chr6,32383587,32383596,1.87
chr6,32383596,32383597,1.74
chr6,32383597,32383598,1.87
chr6,32383598,32383606,2.12
chr6,32383606,32383607,1.87
chr6,32383607,32383608,1.74
chr6,32383608,32383626,2.24
chr6,32383626,32383638,1.87
chr6,32383638,32383641,1.62
chr6,32383641,32383664,1.87
chr6,32383664,32383666,1.74
chr6,32383666,32383696,1.62
chr6,32383696,32383710,1.49
chr6,32383710,32383712,1.37
chr6,32383712,32383728,1.12
chr6,32383728,32383729,1
chr6,32383729,32383732,0.75
chr6,32383732,32383739,0.87
chr6,32383739,32383772,0.37
chr6,32383772,32383798,0.12
chr6,32383798,32383840,0.37
chr6,32383840,32383863,0.62
chr6,32383863,32383929,0.5
chr6,32383929,32383964,0.25
chr6,32383964,32383971,0.37
chr6,32383971,32384095,0.12
chr6,32384268,32384313,0.12
chr6,32384313,32384332,0.37
chr6,32384332,32384344,0.87
chr6,32384344,32384399,1
chr6,32384399,32384444,0.87
chr6,32384444,32384463,0.62
chr6,32384463,32384475,0.12
chr6,32384501,32384541,0.12
chr6,32384541,32384592,0.25
chr6,32384592,32384632,0.37
chr6,32384632,32384652,0.25
chr6,32384652,32384667,0.37
chr6,32384667,32384672,0.75
chr6,32384672,32384723,0.62
chr6,32384723,32384783,0.5
chr6,32384783,32384798,0.37
chr6,32384986,32385096,0.12
chr6,32385096,32385102,0.25
chr6,32385102,32385104,0.37
chr6,32385104,32385117,0.5
chr6,32385117,32385150,0.37
chr6,32385150,32385195,0.5
chr6,32385195,32385227,0.62
chr6,32385227,32385233,0.5
chr6,32385233,32385235,0.37
chr6,32385235,32385281,0.25
chr6,32385281,32385326,0.12
chr6,32385329,32385460,0.12
chr6,32385616,32385714,0.12
chr6,32385714,32385745,0.25
chr6,32385745,32385747,0.5
chr6,32385747,32385845,0.37
chr6,32385845,32385876,0.25
chr6,32385907,32386038,0.12
chr6,32386136,32386173,0.25
chr6,32386173,32386223,0.37
chr6,32386223,32386267,0.62
chr6,32386267,32386304,0.37
chr6,32386304,32386323,0.25
chr6,32386323,32386354,0.37
chr6,32386354,32386454,0.12
chr6,32386702,32386734,0.37
chr6,32386734,32386779,1
chr6,32386779,32386816,1.12
chr6,32386816,32386824,1.37
chr6,32386824,32386833,1.62
chr6,32386833,32386865,1.25
chr6,32386865,32386910,0.62
chr6,32386910,32386921,0.5
chr6,32386921,32386947,0.62
chr6,32386947,32386953,0.37
chr6,32386953,32386955,0.5
chr6,32386955,32387052,0.25
chr6,32387052,32387055,0.12
chr6,32387055,32387084,0.25
chr6,32387084,32387186,0.12
chr6,32387331,32387362,0.12
chr6,32387362,32387462,0.37
chr6,32387462,32387493,0.25
chr6,32387652,32387692,0.12
chr6,32387692,32387783,0.25
chr6,32387783,32387793,0.12
chr6,32387793,32387823,0.25
chr6,32387823,32387893,0.12
chr6,32387893,32387904,0.25
chr6,32387904,32387924,0.37
chr6,32387924,32387940,0.25
chr6,32387940,32388024,0.37
chr6,32388024,32388035,0.25
chr6,32388035,32388071,0.12
chr6,32388139,32388185,0.37
chr6,32388185,32388198,0.5
chr6,32388198,32388234,0.62
chr6,32388234,32388270,0.75
chr6,32388270,32388316,0.37
chr6,32388316,32388329,0.25
chr6,32388329,32388365,0.12
chr6,32388707,32388822,0.12
chr6,32388822,32388838,0.87
chr6,32388838,32388867,0.75
chr6,32388867,32388927,1
chr6,32388927,32388953,1.12
chr6,32388953,32388998,0.37
chr6,32388998,32389058,0.12
chr6,32389274,32389329,0.12
chr6,32389329,32389348,0.25
chr6,32389348,32389352,0.37
chr6,32389352,32389378,0.87
chr6,32389378,32389405,1
chr6,32389405,32389460,0.87
chr6,32389460,32389479,0.75
chr6,32389479,32389483,0.62
chr6,32389483,32389509,0.12
chr6,32389732,32389787,0.25
chr6,32389787,32389863,0.37
chr6,32389863,32389918,0.12
chr6,32389974,32390005,0.12
chr6,32390005,32390105,0.37
chr6,32390105,32390136,0.25
chr6,32390175,32390306,0.12
chr6,32390353,32390418,0.12
chr6,32390418,32390484,0.62
chr6,32390484,32390506,0.5
chr6,32390506,32390549,0.75
chr6,32390549,32390637,0.25
chr6,32390681,32390812,0.37
chr6,32390985,32391116,0.12
chr6,32391330,32391341,0.12
chr6,32391341,32391343,0.25
chr6,32391343,32391461,0.37
chr6,32391461,32391472,0.25
chr6,32391472,32391474,0.12
chr6,32391497,32391568,0.12
chr6,32391568,32391628,0.25
chr6,32391628,32391650,0.12
chr6,32391650,32391673,0.25
chr6,32391673,32391699,0.37
chr6,32391699,32391735,0.25
chr6,32391735,32391739,0.75
chr6,32391739,32391781,0.87
chr6,32391781,32391804,0.75
chr6,32391804,32391866,0.62
chr6,32391866,32391870,0.12
chr6,32391908,32391925,0.12
chr6,32391925,32391932,0.37
chr6,32391932,32391957,0.5
chr6,32391957,32391963,0.75
chr6,32391963,32392031,1
chr6,32392031,32392039,1.12
chr6,32392039,32392056,1
chr6,32392056,32392060,0.75
chr6,32392060,32392062,0.87
chr6,32392062,32392063,1.25
chr6,32392063,32392088,1.12
chr6,32392088,32392094,0.87
chr6,32392094,32392097,0.62
chr6,32392097,32392113,0.87
chr6,32392113,32392114,1
chr6,32392114,32392162,1.25
chr6,32392162,32392179,1.12
chr6,32392179,32392191,1.25
chr6,32392191,32392193,1.12
chr6,32392193,32392228,0.75
chr6,32392228,32392244,0.5
chr6,32392244,32392245,0.37
chr6,32392245,32392310,0.12
chr6,32392471,32392547,0.12
chr6,32392547,32392551,0.25
chr6,32392551,32392602,0.5
chr6,32392602,32392617,0.37
chr6,32392617,32392652,0.5
chr6,32392652,32392678,0.62
chr6,32392678,32392682,0.5
chr6,32392682,32392703,0.25
chr6,32392703,32392734,0.87
chr6,32392734,32392748,1
chr6,32392748,32392783,0.87
chr6,32392783,32392834,0.75
chr6,32392834,32392865,0.12
chr6,32392890,32393021,0.12
chr6,32393099,32393230,0.12
chr6,32393293,32393305,0.12
chr6,32393305,32393312,0.25
chr6,32393312,32393314,0.37
chr6,32393314,32393424,0.5
chr6,32393424,32393436,0.37
chr6,32393436,32393443,0.25
chr6,32393443,32393445,0.12
chr6,32393448,32393477,0.5
chr6,32393477,32393489,0.62
chr6,32393489,32393579,0.87
chr6,32393579,32393583,0.37
chr6,32393583,32393608,0.75
chr6,32393608,32393612,0.62
chr6,32393612,32393620,0.87
chr6,32393620,32393714,0.62
chr6,32393714,32393743,0.25
chr6,32394010,32394018,0.25
chr6,32394018,32394141,0.62
chr6,32394141,32394149,0.37
chr6,32394227,32394263,0.12
chr6,32394263,32394353,0.25
chr6,32394353,32394358,0.37
chr6,32394358,32394373,0.25
chr6,32394373,32394392,0.5
chr6,32394392,32394394,0.62
chr6,32394394,32394443,0.5
chr6,32394443,32394457,0.62
chr6,32394457,32394484,0.75
chr6,32394484,32394504,0.62
chr6,32394504,32394523,0.37
chr6,32394523,32394574,0.25
chr6,32394574,32394588,0.12
chr6,32394608,32394665,0.25
chr6,32394665,32394739,0.62
chr6,32394739,32394796,0.37
chr6,32394913,32394918,0.25
chr6,32394918,32395044,0.37
chr6,32395044,32395049,0.12
chr6,32395327,32395383,0.12
chr6,32395383,32395399,0.25
chr6,32395399,32395420,0.37
chr6,32395420,32395423,0.62
chr6,32395423,32395425,0.75
chr6,32395425,32395445,1
chr6,32395445,32395458,1.12
chr6,32395458,32395514,1
chr6,32395514,32395530,0.87
chr6,32395530,32395551,0.75
chr6,32395551,32395554,0.5
chr6,32395554,32395556,0.37
chr6,32395556,32395576,0.12
chr6,32395588,32395617,0.12
chr6,32395617,32395659,0.25
chr6,32395659,32395719,0.5
chr6,32395719,32395720,0.37
chr6,32395720,32395748,0.62
chr6,32395748,32395779,0.5
chr6,32395779,32395790,0.62
chr6,32395790,32395851,0.37
chr6,32395851,32395910,0.12
chr6,32395920,32395925,0.12
chr6,32395925,32396029,0.62
chr6,32396029,32396051,0.75
chr6,32396051,32396056,0.62
chr6,32396056,32396093,0.12
chr6,32396093,32396160,0.37
chr6,32396160,32396224,0.25
chr6,32396274,32396405,0.12
chr6,32396430,32396496,0.12
chr6,32396496,32396524,0.37
chr6,32396524,32396561,0.62
chr6,32396561,32396627,0.5
chr6,32396627,32396633,0.25
chr6,32396633,32396655,0.5
chr6,32396655,32396676,0.25
chr6,32396676,32396764,0.37
chr6,32396764,32396807,0.12
chr6,32396858,32396903,0.25
chr6,32396903,32396989,0.62
chr6,32396989,32397034,0.37
chr6,32397053,32397184,0.12
chr6,32397261,32397392,0.25
chr6,32397482,32397613,0.12
chr6,32397657,32397788,0.12
chr6,32397819,32397933,0.12
chr6,32397933,32397950,0.25
chr6,32397950,32398012,0.12
chr6,32398012,32398064,0.25
chr6,32398064,32398143,0.12
chr6,32398392,32398523,0.37
chr6,32398558,32398589,0.37
chr6,32398589,32398689,0.75
chr6,32398689,32398720,0.37
chr6,32398753,32398790,0.12
chr6,32398790,32398884,0.5
chr6,32398884,32398921,0.37
chr6,32398922,32399053,0.12
chr6,32399374,32399429,0.12
chr6,32399429,32399505,0.25
chr6,32399505,32399523,0.12
chr6,32399523,32399560,0.37
chr6,32399560,32399596,0.25
chr6,32399596,32399608,0.62
chr6,32399608,32399654,0.87
chr6,32399654,32399727,0.62
chr6,32399727,32399739,0.25
chr6,32399777,32399908,0.12
chr6,32400039,32400082,0.12
chr6,32400082,32400091,0.62
chr6,32400091,32400118,0.75
chr6,32400118,32400129,0.87
chr6,32400129,32400159,1.49
chr6,32400159,32400170,1.62
chr6,32400170,32400186,1.49
chr6,32400186,32400213,1.62
chr6,32400213,32400216,1.12
chr6,32400216,32400222,1.25
chr6,32400222,32400249,1.12
chr6,32400249,32400260,1
chr6,32400260,32400285,0.37
chr6,32400285,32400290,0.5
chr6,32400290,32400301,0.37
chr6,32400301,32400317,0.5
chr6,32400317,32400347,0.37
chr6,32400347,32400380,0.25
chr6,32400380,32400413,0.37
chr6,32400413,32400416,0.5
chr6,32400416,32400432,0.37
chr6,32400432,32400511,0.25
chr6,32400511,32400515,0.12
chr6,32400515,32400518,0.25
chr6,32400518,32400544,0.5
chr6,32400544,32400574,0.37
#bedGraph section chr6:32400574-32408409,,,
chr6,32400574,32400579,0.87
chr6,32400579,32400615,1.25
chr6,32400615,32400631,1.37
chr6,32400631,32400646,1.62
chr6,32400646,32400649,1.49
chr6,32400649,32400705,1.25
chr6,32400705,32400710,0.75
chr6,32400710,32400718,0.37
chr6,32400718,32400732,0.62
chr6,32400732,32400742,0.75
chr6,32400742,32400746,1
chr6,32400746,32400762,0.87
chr6,32400762,32400849,0.62
chr6,32400849,32400863,0.37
chr6,32400863,32400873,0.25
chr6,32400892,32400922,0.12
chr6,32400922,32400956,0.5
chr6,32400956,32400959,0.62
chr6,32400959,32400960,0.75
chr6,32400960,32401023,0.87
chr6,32401023,32401053,0.75
chr6,32401053,32401087,0.37
chr6,32401087,32401090,0.25
chr6,32401090,32401091,0.12
chr6,32401129,32401159,0.12
chr6,32401159,32401260,0.25
chr6,32401260,32401290,0.12
chr6,32401315,32401428,0.12
chr6,32401428,32401436,0.25
chr6,32401436,32401446,0.62
chr6,32401446,32401505,0.5
chr6,32401505,32401521,0.62
chr6,32401521,32401559,0.75
chr6,32401559,32401567,0.62
chr6,32401567,32401636,0.25
chr6,32401636,32401652,0.12
chr6,32401743,32401751,0.12
chr6,32401751,32401874,0.25
chr6,32401874,32401882,0.12
chr6,32402104,32402235,0.62
chr6,32402240,32402282,0.25
chr6,32402282,32402371,0.37
chr6,32402371,32402392,0.12
chr6,32402392,32402393,0.25
chr6,32402393,32402402,0.37
chr6,32402402,32402413,0.5
chr6,32402413,32402523,0.37
chr6,32402523,32402524,0.25
chr6,32402524,32402525,0.12
chr6,32402525,32402533,0.25
chr6,32402533,32402597,0.12
chr6,32402597,32402639,0.37
chr6,32402639,32402651,0.5
chr6,32402651,32402656,0.62
chr6,32402656,32402661,0.5
chr6,32402661,32402675,0.75
chr6,32402675,32402728,1
chr6,32402728,32402770,0.75
chr6,32402770,32402782,0.62
chr6,32402782,32402792,0.5
chr6,32402792,32402806,0.25
chr6,32402953,32403084,0.12
chr6,32403248,32403255,0.25
chr6,32403255,32403356,0.75
chr6,32403356,32403379,1
chr6,32403379,32403386,0.75
chr6,32403386,32403487,0.25
chr6,32403669,32403720,0.12
chr6,32403720,32403770,0.25
chr6,32403770,32403800,0.37
chr6,32403800,32403851,0.25
chr6,32403851,32403878,0.12
chr6,32403878,32403893,0.37
chr6,32403893,32403901,0.5
chr6,32403901,32403978,0.37
chr6,32403978,32404009,0.5
chr6,32404009,32404024,0.25
chr6,32404024,32404038,0.12
chr6,32404038,32404067,0.25
chr6,32404067,32404081,0.37
chr6,32404081,32404109,0.62
chr6,32404109,32404125,0.5
chr6,32404125,32404126,0.62
chr6,32404126,32404162,1
chr6,32404162,32404169,1.12
chr6,32404169,32404198,1
chr6,32404198,32404212,0.87
chr6,32404212,32404253,0.62
chr6,32404253,32404256,0.75
chr6,32404256,32404257,0.62
chr6,32404257,32404293,0.25
chr6,32404293,32404384,0.12
chr6,32404397,32404528,0.25
chr6,32404544,32404554,0.12
chr6,32404554,32404605,0.25
chr6,32404605,32404638,0.37
chr6,32404638,32404648,0.5
chr6,32404648,32404651,0.62
chr6,32404651,32404675,1
chr6,32404675,32404685,0.87
chr6,32404685,32404725,0.75
chr6,32404725,32404736,0.87
chr6,32404736,32404764,0.75
chr6,32404764,32404769,0.87
chr6,32404769,32404779,0.75
chr6,32404779,32404782,0.62
chr6,32404782,32404856,0.25
chr6,32404856,32404877,0.12
chr6,32404877,32404895,0.25
chr6,32404895,32404900,0.12
chr6,32404900,32404903,0.37
chr6,32404903,32404945,0.87
chr6,32404945,32404959,1.12
chr6,32404959,32405008,1.25
chr6,32405008,32405009,1.12
chr6,32405009,32405031,1.25
chr6,32405031,32405034,1
chr6,32405034,32405067,0.5
chr6,32405067,32405076,0.62
chr6,32405076,32405090,0.37
chr6,32405090,32405100,0.25
chr6,32405100,32405108,0.37
chr6,32405108,32405118,0.5
chr6,32405118,32405135,0.62
chr6,32405135,32405140,0.87
chr6,32405140,32405176,0.75
chr6,32405176,32405198,0.87
chr6,32405198,32405203,0.75
chr6,32405203,32405221,1
chr6,32405221,32405231,1.12
chr6,32405231,32405235,1
chr6,32405235,32405236,1.12
chr6,32405236,32405239,1.25
chr6,32405239,32405249,1.12
chr6,32405249,32405253,1
chr6,32405253,32405261,1.37
chr6,32405261,32405266,1.74
chr6,32405266,32405271,1.49
chr6,32405271,32405303,1.87
chr6,32405303,32405307,1.99
chr6,32405307,32405326,1.87
chr6,32405326,32405334,1.99
chr6,32405334,32405352,1.74
chr6,32405352,32405366,1.62
chr6,32405366,32405367,1.49
chr6,32405367,32405384,1.37
chr6,32405384,32405392,1.12
chr6,32405392,32405402,0.75
chr6,32405402,32405434,0.37
chr6,32405434,32405457,0.25
chr6,32405457,32405515,0.12
chr6,32405524,32405525,0.12
chr6,32405525,32405588,1.25
chr6,32405588,32405635,1.37
chr6,32405635,32405655,1.49
chr6,32405655,32405656,1.37
chr6,32405656,32405717,0.25
chr6,32405717,32405719,0.75
chr6,32405719,32405723,0.62
chr6,32405723,32405766,1.25
chr6,32405766,32405848,1.12
chr6,32405848,32405854,0.62
chr6,32405867,32405886,0.12
chr6,32405886,32405998,0.25
chr6,32405998,32406017,0.12
chr6,32406088,32406145,0.37
chr6,32406145,32406177,0.5
chr6,32406177,32406183,0.62
chr6,32406183,32406219,0.75
chr6,32406219,32406239,0.37
chr6,32406239,32406266,0.62
chr6,32406266,32406267,0.87
chr6,32406267,32406268,1
chr6,32406268,32406276,1.25
chr6,32406276,32406279,1.12
chr6,32406279,32406308,1.37
chr6,32406308,32406314,1.25
chr6,32406314,32406339,1.12
chr6,32406339,32406353,1.49
chr6,32406353,32406370,1.62
chr6,32406370,32406397,1.37
chr6,32406397,32406398,1.12
chr6,32406398,32406399,1
chr6,32406399,32406410,0.75
chr6,32406410,32406470,0.5
chr6,32406470,32406484,0.12
chr6,32406625,32406712,0.12
chr6,32406712,32406756,0.25
chr6,32406756,32406766,0.12
chr6,32406766,32406826,0.25
chr6,32406826,32406843,0.62
chr6,32406843,32406897,0.5
chr6,32406897,32406927,0.37
chr6,32406927,32406957,0.75
chr6,32406957,32407021,0.62
chr6,32407021,32407049,1
chr6,32407049,32407058,1.49
chr6,32407058,32407088,1.12
chr6,32407088,32407094,0.87
chr6,32407094,32407152,1.12
chr6,32407152,32407153,0.75
chr6,32407153,32407180,1
chr6,32407180,32407205,0.5
chr6,32407205,32407216,0.62
chr6,32407216,32407225,0.75
chr6,32407225,32407226,0.5
chr6,32407226,32407238,0.75
chr6,32407238,32407248,0.87
chr6,32407248,32407279,1
chr6,32407279,32407284,1.37
chr6,32407284,32407291,1.12
chr6,32407291,32407297,1.25
chr6,32407297,32407318,1.37
chr6,32407318,32407319,1.49
chr6,32407319,32407328,1.62
chr6,32407328,32407333,1.74
chr6,32407333,32407336,1.87
chr6,32407336,32407344,1.74
chr6,32407344,32407347,1.87
chr6,32407347,32407357,1.74
chr6,32407357,32407359,1.49
chr6,32407359,32407364,1.62
chr6,32407364,32407369,1.87
chr6,32407369,32407379,1.74
chr6,32407379,32407410,1.62
chr6,32407410,32407422,1.25
chr6,32407422,32407428,1.12
chr6,32407428,32407435,1
chr6,32407435,32407437,1.49
chr6,32407437,32407441,1.99
chr6,32407441,32407449,2.12
chr6,32407449,32407450,1.99
chr6,32407450,32407459,1.87
chr6,32407459,32407464,1.74
chr6,32407464,32407465,1.74
chr6,32407465,32407475,2.12
chr6,32407475,32407485,1.99
chr6,32407485,32407487,2.12
chr6,32407487,32407490,2.37
chr6,32407490,32407494,2.24
chr6,32407494,32407495,2.37
chr6,32407495,32407497,2.12
chr6,32407497,32407503,2.24
chr6,32407503,32407505,2.37
chr6,32407505,32407514,2.62
chr6,32407514,32407526,2.86
chr6,32407526,32407533,2.99
chr6,32407533,32407537,3.36
chr6,32407537,32407544,3.49
chr6,32407544,32407548,3.61
chr6,32407548,32407549,3.99
chr6,32407549,32407552,4.11
chr6,32407552,32407553,4.24
chr6,32407553,32407554,4.36
chr6,32407554,32407555,4.48
chr6,32407555,32407556,4.61
chr6,32407556,32407558,4.86
chr6,32407558,32407560,4.98
chr6,32407560,32407561,5.23
chr6,32407561,32407565,5.48
chr6,32407565,32407566,5.61
chr6,32407566,32407567,5.23
chr6,32407567,32407568,5.36
chr6,32407568,32407571,4.86
chr6,32407571,32407572,5.11
chr6,32407572,32407573,4.98
chr6,32407573,32407574,5.23
chr6,32407574,32407576,5.36
chr6,32407576,32407577,5.48
chr6,32407577,32407578,5.61
chr6,32407578,32407581,5.85
chr6,32407581,32407582,5.98
chr6,32407582,32407585,6.23
chr6,32407585,32407587,6.6
chr6,32407587,32407590,6.73
chr6,32407590,32407592,7.1
chr6,32407592,32407593,7.23
chr6,32407593,32407594,7.35
chr6,32407594,32407595,7.85
chr6,32407595,32407596,7.72
chr6,32407596,32407597,7.35
chr6,32407597,32407601,8.22
chr6,32407601,32407603,8.47
chr6,32407603,32407605,8.85
chr6,32407605,32407607,8.97
chr6,32407607,32407608,9.22
chr6,32407608,32407610,9.34
chr6,32407610,32407612,9.59
chr6,32407612,32407614,9.72
chr6,32407614,32407615,10.09
chr6,32407615,32407616,10.96
chr6,32407616,32407617,10.96
chr6,32407617,32407618,11.46
chr6,32407618,32407619,11.46
chr6,32407619,32407621,11.59
chr6,32407621,32407622,12.08
chr6,32407622,32407623,12.46
chr6,32407623,32407624,12.58
chr6,32407624,32407625,12.71
chr6,32407625,32407627,12.71
chr6,32407627,32407628,12.83
chr6,32407628,32407629,12.71
chr6,32407629,32407631,13.08
chr6,32407631,32407632,13.21
chr6,32407632,32407633,13.45
